Trabajadores,Procesos,Alfa,Tiempo Total del Turno
40,7,0.3,500

Rotura,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,
Trabajador 1,0.50,0.58,0.84,0.96,0.52,0.90,0.35,
Trabajador 2,0.92,0.86,0.45,0.77,0.42,0.62,0.64,
Trabajador 3,0.73,0.60,0.43,0.11,0.94,0.63,0.05,
Trabajador 4,0.54,0.42,0.49,0.38,0.55,0.55,0.79,
Trabajador 5,0.90,0.04,0.07,0.41,0.22,0.23,0.90,
Trabajador 6,0.97,0.96,0.03,0.93,0.89,0.19,0.58,
Trabajador 7,0.21,0.03,0.77,0.30,0.50,0.53,0.72,
Trabajador 8,0.08,0.37,0.83,0.25,0.13,0.40,0.96,
Trabajador 9,0.16,0.35,0.58,0.97,0.35,0.55,0.02,
Trabajador 10,0.82,0.38,0.37,0.20,0.38,0.74,0.76,
Trabajador 11,0.64,0.40,0.18,0.05,0.44,0.47,0.34,
Trabajador 12,0.40,0.72,0.08,0.05,0.01,0.07,0.82,
Trabajador 13,0.67,0.24,0.16,0.10,0.84,0.94,0.81,
Trabajador 14,0.61,0.45,0.96,0.53,0.64,0.56,0.39,
Trabajador 15,0.65,0.40,0.11,0.11,0.80,0.96,0.44,
Trabajador 16,0.97,0.65,0.19,0.68,0.92,0.62,0.76,
Trabajador 17,0.63,0.50,0.92,0.34,0.48,0.19,0.15,
Trabajador 18,0.14,0.21,0.10,0.55,0.79,0.94,0.03,
Trabajador 19,0.95,0.22,0.52,0.81,0.91,0.95,0.75,
Trabajador 20,0.32,0.97,0.94,0.22,0.11,0.38,0.71,
Trabajador 21,0.59,0.97,0.42,0.91,0.32,0.05,0.98,
Trabajador 22,0.95,0.04,0.19,0.16,0.37,0.24,0.51,
Trabajador 23,0.20,0.01,0.56,0.00,0.02,0.41,0.01,
Trabajador 24,0.43,0.67,0.87,0.01,0.68,0.01,0.31,
Trabajador 25,0.52,0.98,0.12,0.37,0.81,0.44,0.54,
Trabajador 26,0.24,0.68,0.63,0.47,0.89,0.05,0.00,
Trabajador 27,0.18,0.33,0.65,0.55,0.70,0.24,0.12,
Trabajador 28,0.97,0.38,0.21,0.09,0.98,0.69,0.17,
Trabajador 29,0.30,0.54,0.91,0.64,0.05,0.66,0.43,
Trabajador 30,0.06,0.07,0.78,0.56,0.80,0.97,0.96,
Trabajador 31,0.33,0.93,0.53,0.13,0.35,0.01,0.25,
Trabajador 32,0.34,0.22,0.46,0.97,0.77,0.20,0.56,
Trabajador 33,0.60,0.91,0.28,0.83,0.75,0.38,0.94,
Trabajador 34,0.14,0.73,0.83,0.84,0.39,0.57,0.12,
Trabajador 35,0.26,0.87,0.99,0.90,0.27,0.16,0.64,
Trabajador 36,0.45,0.68,0.96,0.63,0.68,0.92,0.96,
Trabajador 37,0.32,0.45,0.67,0.28,0.47,0.87,0.46,
Trabajador 38,0.16,0.50,0.73,0.05,0.59,0.01,0.19,
Trabajador 39,0.20,0.70,0.29,0.96,0.44,0.13,0.08,
Trabajador 40,0.35,0.47,0.07,0.50,0.03,0.92,0.15,

Tiempo,Puesto 1,Puesto 2,Puesto 3,Puesto 4,Puesto 5,Puesto 6,Puesto 7,
Trabajador 1,46,52,44,35,62,99,86,
Trabajador 2,49,41,69,94,79,75,37,
Trabajador 3,55,48,89,77,40,61,46,
Trabajador 4,98,76,76,46,85,91,98,
Trabajador 5,98,71,84,60,96,51,94,
Trabajador 6,42,66,98,39,31,56,94,
Trabajador 7,68,80,32,81,63,98,98,
Trabajador 8,44,45,87,92,63,93,47,
Trabajador 9,76,67,88,77,37,88,51,
Trabajador 10,69,84,64,82,54,42,42,
Trabajador 11,81,90,68,38,34,52,60,
Trabajador 12,95,74,64,51,93,99,83,
Trabajador 13,56,97,68,63,57,76,66,
Trabajador 14,98,40,62,94,67,73,99,
Trabajador 15,96,67,99,39,85,85,62,
Trabajador 16,55,49,83,58,71,87,80,
Trabajador 17,93,53,55,44,89,68,43,
Trabajador 18,87,96,48,96,65,76,83,
Trabajador 19,80,35,44,66,79,61,99,
Trabajador 20,36,65,42,37,43,50,31,
Trabajador 21,77,84,35,86,89,85,35,
Trabajador 22,86,37,79,78,35,86,38,
Trabajador 23,71,80,42,50,39,79,74,
Trabajador 24,43,69,91,92,56,81,87,
Trabajador 25,87,42,37,76,47,42,39,
Trabajador 26,42,43,39,76,91,77,93,
Trabajador 27,98,64,88,74,75,91,64,
Trabajador 28,85,30,87,34,70,56,64,
Trabajador 29,44,43,94,62,34,47,99,
Trabajador 30,94,72,32,87,73,98,59,
Trabajador 31,66,32,73,48,32,81,44,
Trabajador 32,34,33,48,81,89,52,32,
Trabajador 33,42,50,71,77,85,75,97,
Trabajador 34,30,45,43,86,59,94,34,
Trabajador 35,92,85,86,31,92,35,48,
Trabajador 36,97,43,85,68,74,49,39,
Trabajador 37,39,76,81,44,95,96,82,
Trabajador 38,52,60,40,88,53,62,66,
Trabajador 39,87,59,61,72,87,40,42,
Trabajador 40,48,61,80,97,47,83,45,

Vacantes,2,3,4,4,1,4,2,

Vacantes,1,1,1,1,1,1,1,
