Trabajadores,Procesos,Alfa,,,,,,
15,7,0.3,,,,,,
,,,,,,,,
Rotura,1,2,3,4,5,6,7,8
1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
2,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
3,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
4,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
5,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
6,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
7,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
8,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
10,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
11,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
12,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
13,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
14,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
15,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
,,,,,,,,
Tiempo,1,2,3,4,5,6,7,8
1,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
2,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
3,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
4,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
5,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
6,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
7,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
8,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
10,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
11,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
12,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
13,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
14,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
15,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
,,,,,,,,
Puestos de Trabajo,10,20,15,10,15,20,15,10
,,,,,,,,
HaceONoHace,1,0,1,0,1,1,0,1
